original_index,positive_sentences,integrated_sentences,doi
89/177,"Therefore, the extracted parameters from weak antilocalization do not correspond to an individual band; instead, an averaged value over all the bands should be considered [33].","In general, the LaAlO3=SrTiO3 interface has a compli- cated band structure involving multiple contributions from the titanium d bands [31,32]. Therefore, the extracted parameters from weak antilocalization do not correspond to an individual band; instead, an averaged value over all the bands should be considered [33].",181/10.1103/PhysRevLett.119.237002
98/177,All these observations suggest the mixing of multiple bands in the presence of a strong spin-orbit interaction for higher Vg.,"Interestingly, these two regimes separated by the point where τSO ≃τ and the maximum of Tc (and Hc∥) dome lies close to this Vg. All these observations suggest the mixing of multiple bands in the presence of a strong spin-orbit interaction for higher Vg.",181/10.1103/PhysRevLett.119.237002
100/177,"It is therefore possible that the crystalline spin-orbit interaction becomes important close to this avoided band crossing region due to the orbital mixing [23,35].","This scenario concurs with our recent report of crystalline sixfold anisotropic magnetoresistance in the (111) interfaces [9], where the sixfold term appears as a result of another band with higher spin state J getting populated with increasing Vg. It is therefore possible that the crystalline spin-orbit interaction becomes important close to this avoided band crossing region due to the orbital mixing [23,35].",181/10.1103/PhysRevLett.119.237002
101/177,"This interaction becomes smaller as Vg is further increased away from the band crossing regime, resulting in a dome in the spin-orbit energy versus Vg.","It is therefore possible that the crystalline spin-orbit interaction becomes important close to this avoided band crossing region due to the orbital mixing [23,35]. This interaction becomes smaller as Vg is further increased away from the band crossing regime, resulting in a dome in the spin-orbit energy versus Vg.",181/10.1103/PhysRevLett.119.237002
115/177,We suggest that the crystalline spin-orbit interaction becomes important close to an avoided band crossing region.,The Hc∥ exceeds the Chandrasekhar-Clogston limit by more than an order of magnitude due to a strong spin-orbit interaction. We suggest that the crystalline spin-orbit interaction becomes important close to an avoided band crossing region.,181/10.1103/PhysRevLett.119.237002
6/320,We interpret our ﬁndings in terms of the electronic structure of the alloys.,"Trends in the elastic properties of chemical systems are analyzed using force constants, electronic densities of state, and crystal overlap Hamilton populations. We interpret our ﬁndings in terms of the electronic structure of the alloys.",160/10.1103/PhysRevB.89.104103
12/320,"First-principles computational methods prove fruitful, ow- ing to their chemical speciﬁcity and absence of adjustable parameters, as well as the insight they yield into electronic structure.","Empirical methods for predicting stoichiometries with desired properties are therefore necessary. First-principles computational methods prove fruitful, ow- ing to their chemical speciﬁcity and absence of adjustable parameters, as well as the insight they yield into electronic structure.",160/10.1103/PhysRevB.89.104103
61/320,"VASP calculates total energies, forces, elastic moduli, and electronic structure.","B. First-principles methods Our ﬁrst-principles calculations use the Vienna ab initio simulation package (VASP) [26,27], a plane-wave ab initio package implementing PAW pseudopotentials [28] in the PW91 [29] generalized gradient approximation to density functional theory (DFT). VASP calculates total energies, forces, elastic moduli, and electronic structure.",160/10.1103/PhysRevB.89.104103
221/320,7. (Color online) Electronic densities of states for hR13 structures.,"Compound ETM-ETM (44x) ETM-LTM (32x) LTM-LTM (4x) mean mean tI12 R k ρCOHP R k ρCOHP R k ρCOHP k ρCOHP K NiTa2 3.12 4.2 0.31 2.63 4.7 0.25 2.43 4.2 0.025 30.7 0.27 222 CoTa2 3.11 5.2 0.31 2.61 3.7 0.30 2.48 4.0 0.030 32.0 0.29 228 NiW2 3.02 4.0 0.31 2.55 7.6 0.34 2.38 4.3 0.041 37.7 0.31 294 CoW2 3.02 5.1 0.37 2.54 6.7 0.36 2.38 4.8 0.037 39.9 0.35 308 104103-7WILLIAM PAUL HUHN et al. PHYSICAL REVIEW B 89, 104103 (2014) -10 -8 -6 -4 -2 0 2 4 6 8 10 ε-εF (eV) 0 5 10 15 20 25 30 35 40 45 Density (states/eV) Total Co (d) Ta (d) (a) CoTa.hR13 -10 -8 -6 -4 -2 0 2 4 6 8 10 ε-εF (eV) 0 5 10 15 20 25 30 35 40 45 Density (states/eV) Total Co (d) W (d) (b) CoW.hR13 -10 -8 -6 -4 -2 0 2 4 6 8 10 ε-εF (eV) 0 5 10 15 20 25 30 35 40 45 Density (states/eV) Total Ni (d) Ta (d) (c) NiTa.hR13 -10 -8 -6 -4 -2 0 2 4 6 8 10 ε-εF (eV) 0 5 10 15 20 25 30 35 40 45 Density (states/eV) Total Ni (d) W (d) (d) NiW.hR13 FIG. 7. (Color online) Electronic densities of states for hR13 structures.",160/10.1103/PhysRevB.89.104103
70/156,"We employ the tight-binding model on this atomic chain, tCj21 1 VjCj 1 tCj11  ECj, where we assume that t  21 for the transfer integrals and VX  0 and VY  V for the relevant site energies.","More remarkably, the chain is invariant against the exchange of two types of atoms, X and Y. We employ the tight-binding model on this atomic chain, tCj21 1 VjCj 1 tCj11  ECj, where we assume that t  21 for the transfer integrals and VX  0 and VY  V for the relevant site energies.",185/10.1103/PhysRevLett.85.4924
120/156,"It has also been numerically conﬁrmed that each energy level at a band edge, where energy levels accumulate only from one side, gives the equivalent ﬁxed point of the 7D map to that of the ground state level.","The map being reduced to the subspace is essentially the same as above. It has also been numerically conﬁrmed that each energy level at a band edge, where energy levels accumulate only from one side, gives the equivalent ﬁxed point of the 7D map to that of the ground state level.",185/10.1103/PhysRevLett.85.4924
22/110,"For our computational analysis, we used density functional the- ory (DFT) and the plane-wave pseudopotential technique imple- mented in the CASTEP package [14].","Motivated by the intriguing properties of single- bonded nitrogen and its potential as a high energy density mate- rial, we investigated the structural stability of K4 nitrogen and 50% carbon-doped K4 nitrogen using ﬁrst-principle calculations. For our computational analysis, we used density functional the- ory (DFT) and the plane-wave pseudopotential technique imple- mented in the CASTEP package [14].",66/10.1016/j.cplett.2011.02.042
24/110,We used generalized gradient approximation [16] with the Perdew BurkeErnzerhof [17] exchange–correlation functional.,Ion–electron interactions were modeled using ultrasoft pseudopotentials [15]. We used generalized gradient approximation [16] with the Perdew BurkeErnzerhof [17] exchange–correlation functional.,66/10.1016/j.cplett.2011.02.042
6/413,The interband branches are gapped and their long-wavelength limits are connected with Van Hove singularities of the band structure.,"It is most dispersive and is independent of carrier density in direction normal to the nodal line, whereas along the nodal line, its dispersion is largely suppressed and its frequency scales linearly with carrier density. The interband branches are gapped and their long-wavelength limits are connected with Van Hove singularities of the band structure.",142/10.1103/PhysRevB.107.115168
15/413,"In recent works, the possible protected band degen- eracies were systematically classiﬁed for all magnetic space groups [19–23].","For instance, in three-dimensional (3D) materials, stable degeneracy manifolds may take the form of nodal points [5–11], nodal lines [12–15], or nodal surfaces [16–18]. In recent works, the possible protected band degen- eracies were systematically classiﬁed for all magnetic space groups [19–23].",142/10.1103/PhysRevB.107.115168
31/413,"While the spe- ciﬁc band dispersion varies with n, all these members in 2D feature the nonsymmorphic nodal line [34].","More inter- esting, this family belongs to so-called composition-tunable materials, i.e., there exist a series of stoichiometric members with the formula Nb2n+1SinTe4n+2, or equivalently NbSixTe2 with x = n/(2n + 1) ∈[1/3, 1/2] [37,39–41]. While the spe- ciﬁc band dispersion varies with n, all these members in 2D feature the nonsymmorphic nodal line [34].",142/10.1103/PhysRevB.107.115168
32/413,"It was found that the low-energy bands that make the nodal line are mainly from an array of NbTe2 chains, which can be well cap- tured by a 2D Su-Schrieffer-Heeger (SSH) -like model [36].","While the spe- ciﬁc band dispersion varies with n, all these members in 2D feature the nonsymmorphic nodal line [34]. It was found that the low-energy bands that make the nodal line are mainly from an array of NbTe2 chains, which can be well cap- tured by a 2D Su-Schrieffer-Heeger (SSH) -like model [36].",142/10.1103/PhysRevB.107.115168
43/413,"Meanwhile, the two interband branches are gapped and are connected to the Van Hove sin- gularities of the band structure.","The scaling of plasmon frequency with carrier density n (or Fermi energy) depends on the propaga- tion direction, which crosses over from ∼n0 normal to the nodal line to ∼n along the line. Meanwhile, the two interband branches are gapped and are connected to the Van Hove sin- gularities of the band structure.",142/10.1103/PhysRevB.107.115168
63/413,"(c), (d) Band structure of the model.","The nodal line at the boundary of BZ is highlighted in red. (c), (d) Band structure of the model.",142/10.1103/PhysRevB.107.115168
70/413,"It follows that the spectrum of model (1) must be gapless, with two bands crossing at a Dirac node at the BZ boundary k = π/ℓx, where k is the wave vector along the chain and ℓx is the lattice constant along x.","In comparison, here, the two hopping amplitudes must be equal, as dictated by the ˜My symmetry. It follows that the spectrum of model (1) must be gapless, with two bands crossing at a Dirac node at the BZ boundary k = π/ℓx, where k is the wave vector along the chain and ℓx is the lattice constant along x.",142/10.1103/PhysRevB.107.115168
77/413,(3) It is important to note that adding the interchain coupling does not open a gap in the spectrum.,Combining the two parts gives the whole model H =  j H j chain + Hinter. (3) It is important to note that adding the interchain coupling does not open a gap in the spectrum.,142/10.1103/PhysRevB.107.115168
83/413,"In the current model, this nodal line must be formed by the crossing of the two bands.","Therefore, the bands on the X-M path must be doubly degenerate, and this dictates the presence of a nodal line along this path, as indicated in Fig. 1(b). In the current model, this nodal line must be formed by the crossing of the two bands.",142/10.1103/PhysRevB.107.115168
88/413,"The result conﬁrms a nodal line at kx = π/ℓx, where the two bands cross at zero energy.","The model can be easily diagonalized and its spectrum is given by Es(k) = 2s cos kxℓx 2 [t2 + 2tt′ cos(kyℓy) + t′2]1/2, (7) with s = ±1. The result conﬁrms a nodal line at kx = π/ℓx, where the two bands cross at zero energy.",142/10.1103/PhysRevB.107.115168
89/413,"The band structure of the model is plotted in Figs. 1(c) and 1(d), from which one can visualize the nodal line at the BZ boundary.","The result conﬁrms a nodal line at kx = π/ℓx, where the two bands cross at zero energy. The band structure of the model is plotted in Figs. 1(c) and 1(d), from which one can visualize the nodal line at the BZ boundary.",142/10.1103/PhysRevB.107.115168
92/413,This conﬁrms the Dirac-type linear band crossing at the nodal line.,"Then, to the linear order in q, i.e., the deviation from k∗, we have Es,k∗(q) ≈−s¯hvF (k∗)qx, (8) where vF (k∗) = ℓx[t2 + 2tt′ cos(kyℓy) + t′2]1/2/¯h (9) is the Fermi velocity along the kx direction at the k∗point. This conﬁrms the Dirac-type linear band crossing at the nodal line.",142/10.1103/PhysRevB.107.115168
110/413,"Owing to the band structure of the Dirac SSH model and the constraint from the overlap form factor, we shall see that the contributions in χ0 from s = s′ and from s ̸= s′ give distinct plasmon branches and they are separated in energy.","Explicitly, we have χ0(q, ω) = g  ss′  d2k (2π)2 ( fsk −fs′k+q) · F k,k+q ss′ Es(k) −Es′(k + q) + ¯hω + iη, (14) where fsk is the Fermi distribution function for the band eigen- state |usk⟩, F k,k+q ss′ = |⟨usk|us′k+q⟩|2 is the overlap form factor, and η is a small positive number related to the quasiparticle lifetime. Owing to the band structure of the Dirac SSH model and the constraint from the overlap form factor, we shall see that the contributions in χ0 from s = s′ and from s ̸= s′ give distinct plasmon branches and they are separated in energy.",142/10.1103/PhysRevB.107.115168
123/413,"First, it is gapless with a ω ∼√q dispersion, which is characteristic for 2D systems, such as 2D electron gas and graphene.","There are several notable features of this intraband plas- mon branch. First, it is gapless with a ω ∼√q dispersion, which is characteristic for 2D systems, such as 2D electron gas and graphene.",142/10.1103/PhysRevB.107.115168
141/413,"Meanwhile, it also makes the interband contribution nonzero, which we shall discuss in the next section.","One observes that the second term in (18) gives a correction for the intraband contribution. Meanwhile, it also makes the interband contribution nonzero, which we shall discuss in the next section.",142/10.1103/PhysRevB.107.115168
177/413,"These factors result in gapped intraband plasmon branches, conventional frequency scaling behavior, and extended SPE regions, which are distinct from our system.","However, TTF-TCNQ is a 3D material and its low-energy bands are of conventional quadratic dispersion. These factors result in gapped intraband plasmon branches, conventional frequency scaling behavior, and extended SPE regions, which are distinct from our system.",142/10.1103/PhysRevB.107.115168
179/413,"However, for other directions, especially the y direction, interband contri- butions with s ̸= s′ can exist when there is nonzero interchain coupling t′. For these interband modes, χ0 may involve virtual transitions between states away from the nodal line, so it is dif- ﬁcult to get simple analytic results.","B. Interband plasmons From the overlap form factor in (18), we notice that along the x direction, only intraband plasmons exist. However, for other directions, especially the y direction, interband contri- butions with s ̸= s′ can exist when there is nonzero interchain coupling t′. For these interband modes, χ0 may involve virtual transitions between states away from the nodal line, so it is dif- ﬁcult to get simple analytic results.",142/10.1103/PhysRevB.107.115168
181/413,"Figure 3(a) shows the obtained energy loss function for q along the nodal-line (y) direction, where such interband plasmons are most pronounced.","In the following, we shall proceed with numerical calculation of the Dirac SSH model. Figure 3(a) shows the obtained energy loss function for q along the nodal-line (y) direction, where such interband plasmons are most pronounced.",142/10.1103/PhysRevB.107.115168
183/413,They correspond to the interband plasmons.,"One observes that besides the gapless intraband branch at low frequencies, there are two other gapped branches at much higher frequencies. They correspond to the interband plasmons.",142/10.1103/PhysRevB.107.115168
184/413,"As we mentioned, these interband modes are related to interband virtual transitions in the band structure.","They correspond to the interband plasmons. As we mentioned, these interband modes are related to interband virtual transitions in the band structure.",142/10.1103/PhysRevB.107.115168
185/413,"Actually, one can see that the long-wavelength limit of the two branches encode the information of the Van Hove singularities of the Dirac SSH band structure.","As we mentioned, these interband modes are related to interband virtual transitions in the band structure. Actually, one can see that the long-wavelength limit of the two branches encode the information of the Van Hove singularities of the Dirac SSH band structure.",142/10.1103/PhysRevB.107.115168
188/413,"In the plasmon spectrum, ω1 and ω2 are exactly the limiting values of the two interband branches in the q →0 limit.","It is more convenient to visualize these two frequencies as corresponding to the singularities in the joint density of states (JDOS), as shown in Fig. 3(c). In the plasmon spectrum, ω1 and ω2 are exactly the limiting values of the two interband branches in the q →0 limit.",142/10.1103/PhysRevB.107.115168
190/413,"Such connection between interband plasmons and singularities in JDOS is generic and is observed also in many other systems, e.g., in a recent study on twisted double bilayer graphene [61].","(Here, the intensity of the peak vanishes, because the form factor is zero in this limit.) With increasing q, the fre- quency of the upper branch decreases and the lower branch increases, and the two merge at q = π/ℓy, corresponding to the interband transitions from  to Y or from Y to , owing to the particle-hole symmetry of the model. Such connection between interband plasmons and singularities in JDOS is generic and is observed also in many other systems, e.g., in a recent study on twisted double bilayer graphene [61].",142/10.1103/PhysRevB.107.115168
191/413,Another feature to be noted is that the band width of these two interband branches is on the order of interchain coupling t′.,"Such connection between interband plasmons and singularities in JDOS is generic and is observed also in many other systems, e.g., in a recent study on twisted double bilayer graphene [61]. Another feature to be noted is that the band width of these two interband branches is on the order of interchain coupling t′.",142/10.1103/PhysRevB.107.115168
192/413,"This can be easily understood by noting that this width scales with the electronic band energy variation along ky, which is governed by t′. In Fig. 3(d), we plot the plasmon spectrum at a decreased value of t′ as compared to Fig. 3(a).","Another feature to be noted is that the band width of these two interband branches is on the order of interchain coupling t′. This can be easily understood by noting that this width scales with the electronic band energy variation along ky, which is governed by t′. In Fig. 3(d), we plot the plasmon spectrum at a decreased value of t′ as compared to Fig. 3(a).",142/10.1103/PhysRevB.107.115168
195/413,The two upper branches are the interband plasmons.,3. (a) Energy loss spectrum along the nodal line. The two upper branches are the interband plasmons.,142/10.1103/PhysRevB.107.115168
203/413,"Indeed, one observes that the interband branches become ﬂatter. IV.","(d) is the same as panel (a) but with a smaller interchain coupling ζ = 0.1. Indeed, one observes that the interband branches become ﬂatter. IV.",142/10.1103/PhysRevB.107.115168
219/413,"The obtained band structures are plotted in Fig. 5, which agree with previous results [34]. One FIG.","Previous works showed that the spin- orbit coupling is weak in these materials [33,34,36], so it is neglected in our calculation. The obtained band structures are plotted in Fig. 5, which agree with previous results [34]. One FIG.",142/10.1103/PhysRevB.107.115168
225/413,"observes that the three band structures share similar features, with a nonsymmorphic nodal line close to the Fermi level on the X-M path, formed by the crossing of two bands.","(d) Structure of general conﬁguration (ab)nc, n ⩾1, where n copies of (ab) chains are inserted between two c chains. observes that the three band structures share similar features, with a nonsymmorphic nodal line close to the Fermi level on the X-M path, formed by the crossing of two bands.",142/10.1103/PhysRevB.107.115168
230/413,"(b)–(d) Band structures of (Nb2SiTe4)n(NbTe2) with n = 1, 2, 3. 115168-6PLASMONS IN A TWO-DIMENSIONAL NONSYMMORPHIC … PHYSICAL REVIEW B 107, 115168 (2023) FIG.","5. (a) BZ of the NbSixTe2 family of materials. (b)–(d) Band structures of (Nb2SiTe4)n(NbTe2) with n = 1, 2, 3. 115168-6PLASMONS IN A TWO-DIMENSIONAL NONSYMMORPHIC … PHYSICAL REVIEW B 107, 115168 (2023) FIG.",142/10.1103/PhysRevB.107.115168
242/413,"The SPE continuum for n = 1 spans a much larger region, because the material’s band structure has a stronger deviation from the Dirac SSH model, as indicated by the red arrows in Fig. 5(b).","This is due to the overlap with the SPE region [see Fig. 6(a)]. The SPE continuum for n = 1 spans a much larger region, because the material’s band structure has a stronger deviation from the Dirac SSH model, as indicated by the red arrows in Fig. 5(b).",142/10.1103/PhysRevB.107.115168
248/413,One observes the presence of interband plasmon branches at higher frequencies.,"Next, we plot the energy loss spectra along the y direction in Fig. 7(c). One observes the presence of interband plasmon branches at higher frequencies.",142/10.1103/PhysRevB.107.115168
250/413,"Nevertheless, there appear to be more than two in- terband branches, especially for n = 2 and 3.","This agrees with the model result. Nevertheless, there appear to be more than two in- terband branches, especially for n = 2 and 3.",142/10.1103/PhysRevB.107.115168
251/413,"This is due to the presence of other nearby bands in Fig. 5, which also contribute to the interband transitions.","Nevertheless, there appear to be more than two in- terband branches, especially for n = 2 and 3. This is due to the presence of other nearby bands in Fig. 5, which also contribute to the interband transitions.",142/10.1103/PhysRevB.107.115168
252/413,"Consistent with our model analysis, one can see that the width of the interband branches decreases with n. For n = 2 and 3, these branches become very ﬂat, again reﬂecting the weak interchain coupling.","This is due to the presence of other nearby bands in Fig. 5, which also contribute to the interband transitions. Consistent with our model analysis, one can see that the width of the interband branches decreases with n. For n = 2 and 3, these branches become very ﬂat, again reﬂecting the weak interchain coupling.",142/10.1103/PhysRevB.107.115168
254/413,"This again indicates that the interchain coupling is already very small for n = 2 and 3, so the Dirac bands become almost dis- persionless along the nodal line, which suppresses intraband plasmons in this direction.","In addition, one also observes in Fig. 7(c) that the intra- band plasmon branch is strongly suppressed with increasing n, which almost entirely disappears for the n = 3 case. This again indicates that the interchain coupling is already very small for n = 2 and 3, so the Dirac bands become almost dis- persionless along the nodal line, which suppresses intraband plasmons in this direction.",142/10.1103/PhysRevB.107.115168
258/413,"In addition, there exist several other isostructural materials, including TaSixTe2, NbGexTe2, and TaGexTe2, with the similar nodal-line band structure [31,40,41].","Their high-quality 2D ultrathin layers have been demonstrated in experiment [38]. In addition, there exist several other isostructural materials, including TaSixTe2, NbGexTe2, and TaGexTe2, with the similar nodal-line band structure [31,40,41].",142/10.1103/PhysRevB.107.115168
272/413,"It was demonstrated that the tech- nique can reach a resolution of a few meV and the detected frequency range can reach ∼1 eV [63,64].","The model parameters are the same as in Figs. 1(c) and 1(d) and we take EF = 50 meV. high-resolution EELS provides a powerful tool for mapping out the plasmon spectrum. It was demonstrated that the tech- nique can reach a resolution of a few meV and the detected frequency range can reach ∼1 eV [63,64].",142/10.1103/PhysRevB.107.115168
287/413,"Using the Dirac SSH model, we show that the system possesses two kinds of plasmons: the gapless intraband plasmons and the gapped interband plasmons.","In conclusion, we discover interesting plasmon properties in a class of 2D nonsymmorphic nodal-line TSMs. Using the Dirac SSH model, we show that the system possesses two kinds of plasmons: the gapless intraband plasmons and the gapped interband plasmons.",142/10.1103/PhysRevB.107.115168
290/413,"Normal to the nodal line, the dispersion is strongest and is independent of carrier density; whereas along the nodal line, the dispersion is largely sup- pressed and is linear in the carrier density.","The dispersion and the carrier density scaling are highly anisotropic. Normal to the nodal line, the dispersion is strongest and is independent of carrier density; whereas along the nodal line, the dispersion is largely sup- pressed and is linear in the carrier density.",142/10.1103/PhysRevB.107.115168
291/413,"The interband plasmons have a quite ﬂat dispersion, with band width scaling with the interchain coupling.","Normal to the nodal line, the dispersion is strongest and is independent of carrier density; whereas along the nodal line, the dispersion is largely sup- pressed and is linear in the carrier density. The interband plasmons have a quite ﬂat dispersion, with band width scaling with the interchain coupling.",142/10.1103/PhysRevB.107.115168
292/413,Their long-wavelength limits are connected with transitions between Van Hove singularities of the band structure.,"The interband plasmons have a quite ﬂat dispersion, with band width scaling with the interchain coupling. Their long-wavelength limits are connected with transitions between Van Hove singularities of the band structure.",142/10.1103/PhysRevB.107.115168
302/413,"The plane-wave cutoff energy was set to be 400 eV and the convergence thresholds for energy and force were chosen to be 10−7 eV and 0.001 eV/ ˚A, respectively.","The exchange-correlation energy was treated with the generalized-gradient approximation [69] in the scheme of the Perdew-Burke-Ernzerhof [70] approach. The plane-wave cutoff energy was set to be 400 eV and the convergence thresholds for energy and force were chosen to be 10−7 eV and 0.001 eV/ ˚A, respectively.",142/10.1103/PhysRevB.107.115168
304/413,"After obtaining the band structure, ab initio tight-binding models were constructed by using the WANNIER90 package [71].","-centered k-point meshes with size 10 × 6 × 1 for (ab)1c and 10 × 4 × 1 for (ab)2c and (ab)3c were used for BZ sampling. After obtaining the band structure, ab initio tight-binding models were constructed by using the WANNIER90 package [71].",142/10.1103/PhysRevB.107.115168
2/227,"Several basic functionalities such as analysis of Mulliken charges, molecular dynamics, geometry optimization and band structure are included.","The web-based GUI program enables us to quickly visualize crystalline and molecular structures by dragging and dropping XYZ, CIF, or OpenMX input/output ﬁles, and analyze static/dynamic structural properties conveniently in a web browser. Several basic functionalities such as analysis of Mulliken charges, molecular dynamics, geometry optimization and band structure are included.",4/10.1016/j.jmgm.2019.03.013
3/227,"In addition, based on marching cubes, marching tetrahedra and surface nets algorithms with Afﬁne transformation, 3D isosurface techniques are sup- ported to visualize electron density and molecular/crystalline orbitals in the cube format with super- position of a crystalline or molecular structure.","Several basic functionalities such as analysis of Mulliken charges, molecular dynamics, geometry optimization and band structure are included. In addition, based on marching cubes, marching tetrahedra and surface nets algorithms with Afﬁne transformation, 3D isosurface techniques are sup- ported to visualize electron density and molecular/crystalline orbitals in the cube format with super- position of a crystalline or molecular structure.",4/10.1016/j.jmgm.2019.03.013
4/227,"Furthermore, the Band Structure Viewer is implemented for showing a band structure in a web browser.","In addition, based on marching cubes, marching tetrahedra and surface nets algorithms with Afﬁne transformation, 3D isosurface techniques are sup- ported to visualize electron density and molecular/crystalline orbitals in the cube format with super- position of a crystalline or molecular structure. Furthermore, the Band Structure Viewer is implemented for showing a band structure in a web browser.",4/10.1016/j.jmgm.2019.03.013
24/227,"It contains three kinds of viewers - Structure Viewer, Cube 3D Viewer and Band Structure Viewer.","Journal of Molecular Graphics and Modelling 89 (2019) 192e198and, (3) to save structural information in a XYZ format, a CIF format, or an OpenMX input format by using our unique javascript libraries and functions. It contains three kinds of viewers - Structure Viewer, Cube 3D Viewer and Band Structure Viewer.",4/10.1016/j.jmgm.2019.03.013
35/227,"The main features of the OpenMX Viewer include: (1) Structure Viewer; (2) Cube 3D Viewer; and, (3) Band Structure Viewer.","The OpenMX Viewer can be utilized directly by dragging-and-dropping ﬁles to the OpenMX Viewer webpage [24] without installations, upgrades, and terminal commands. The main features of the OpenMX Viewer include: (1) Structure Viewer; (2) Cube 3D Viewer; and, (3) Band Structure Viewer.",4/10.1016/j.jmgm.2019.03.013
45/227,"Viewer Supported ﬁle types Structure Viewer (Static) XYZ type (.xyz), CIF type (.cif), OpenMX input (.dat) Structure Viewer (Dynamic) XYZ type (.xyz), OpenMX output ﬁles (.md) Cube 3D Viewer Gaussian cube ﬁles (.cube) Band Structure Viewer Band ﬁles (.Band) Fig. 1.","If a dropped ﬁle is relevant to structural optimization or molecular dynamics simulations, users can select Structural Change to check structural changes at each optimization or molecular dynamics step Table 1 Viewers and corresponding supported ﬁle types. Viewer Supported ﬁle types Structure Viewer (Static) XYZ type (.xyz), CIF type (.cif), OpenMX input (.dat) Structure Viewer (Dynamic) XYZ type (.xyz), OpenMX output ﬁles (.md) Cube 3D Viewer Gaussian cube ﬁles (.cube) Band Structure Viewer Band ﬁles (.Band) Fig. 1.",4/10.1016/j.jmgm.2019.03.013
