original_index,positive_sentences,integrated_sentences,doi
42/177,All these observations indicate the presence of a hole band in addition to electron band(s) in the (111) interface.,"Moreover, the electron density due to the field effect increases with Vg in contrast to the observed behavior in Fig. 1(c). All these observations indicate the presence of a hole band in addition to electron band(s) in the (111) interface.",181/10.1103/PhysRevLett.119.237002
43/177,We have confirmed this scenario by analyzing the normal state transport data via a simplistic noninteracting two-band model with one hole and one electron band (see Ref.,All these observations indicate the presence of a hole band in addition to electron band(s) in the (111) interface. We have confirmed this scenario by analyzing the normal state transport data via a simplistic noninteracting two-band model with one hole and one electron band (see Ref.,181/10.1103/PhysRevLett.119.237002
88/177,"In general, the LaAlO3=SrTiO3 interface has a compli- cated band structure involving multiple contributions from the titanium d bands [31,32].","HSO from weak antilocalization [Fig. 3(c)] shows non- monotonic behavior similar to εSO inferred from super- conductivity [Fig. 3(b)], and, furthermore, they have a maximum value at the same gate voltage as Tc. In general, the LaAlO3=SrTiO3 interface has a compli- cated band structure involving multiple contributions from the titanium d bands [31,32].",181/10.1103/PhysRevLett.119.237002
98/177,All these observations suggest the mixing of multiple bands in the presence of a strong spin-orbit interaction for higher Vg.,"Interestingly, these two regimes separated by the point where τSO ≃τ and the maximum of Tc (and Hc∥) dome lies close to this Vg. All these observations suggest the mixing of multiple bands in the presence of a strong spin-orbit interaction for higher Vg.",181/10.1103/PhysRevLett.119.237002
99/177,"This scenario concurs with our recent report of crystalline sixfold anisotropic magnetoresistance in the (111) interfaces [9], where the sixfold term appears as a result of another band with higher spin state J getting populated with increasing Vg.","All these observations suggest the mixing of multiple bands in the presence of a strong spin-orbit interaction for higher Vg. This scenario concurs with our recent report of crystalline sixfold anisotropic magnetoresistance in the (111) interfaces [9], where the sixfold term appears as a result of another band with higher spin state J getting populated with increasing Vg.",181/10.1103/PhysRevLett.119.237002
100/177,"It is therefore possible that the crystalline spin-orbit interaction becomes important close to this avoided band crossing region due to the orbital mixing [23,35].","This scenario concurs with our recent report of crystalline sixfold anisotropic magnetoresistance in the (111) interfaces [9], where the sixfold term appears as a result of another band with higher spin state J getting populated with increasing Vg. It is therefore possible that the crystalline spin-orbit interaction becomes important close to this avoided band crossing region due to the orbital mixing [23,35].",181/10.1103/PhysRevLett.119.237002
101/177,"This interaction becomes smaller as Vg is further increased away from the band crossing regime, resulting in a dome in the spin-orbit energy versus Vg.","It is therefore possible that the crystalline spin-orbit interaction becomes important close to this avoided band crossing region due to the orbital mixing [23,35]. This interaction becomes smaller as Vg is further increased away from the band crossing regime, resulting in a dome in the spin-orbit energy versus Vg.",181/10.1103/PhysRevLett.119.237002
115/177,We suggest that the crystalline spin-orbit interaction becomes important close to an avoided band crossing region.,The Hc∥ exceeds the Chandrasekhar-Clogston limit by more than an order of magnitude due to a strong spin-orbit interaction. We suggest that the crystalline spin-orbit interaction becomes important close to an avoided band crossing region.,181/10.1103/PhysRevLett.119.237002
116/177,"In this regime, orbital mixing can lead to enhanced spin-orbit interaction and superconductivity, which become weaker as Vg is tuned away from this avoided band crossing regime.","We suggest that the crystalline spin-orbit interaction becomes important close to an avoided band crossing region. In this regime, orbital mixing can lead to enhanced spin-orbit interaction and superconductivity, which become weaker as Vg is tuned away from this avoided band crossing regime.",181/10.1103/PhysRevLett.119.237002
6/320,We interpret our ﬁndings in terms of the electronic structure of the alloys.,"Trends in the elastic properties of chemical systems are analyzed using force constants, electronic densities of state, and crystal overlap Hamilton populations. We interpret our ﬁndings in terms of the electronic structure of the alloys.",160/10.1103/PhysRevB.89.104103
12/320,"First-principles computational methods prove fruitful, ow- ing to their chemical speciﬁcity and absence of adjustable parameters, as well as the insight they yield into electronic structure.","Empirical methods for predicting stoichiometries with desired properties are therefore necessary. First-principles computational methods prove fruitful, ow- ing to their chemical speciﬁcity and absence of adjustable parameters, as well as the insight they yield into electronic structure.",160/10.1103/PhysRevB.89.104103
76/320,"One calculates matrix elements ⟨αL|H|βL′⟩of the density functional theory Hamiltonian between localized atomic orbitals L and L′ on a pair of atoms α and β, then multiplies by the density of states NαL,βL′ projected onto the two orbitals.","The COHP provides an electronic structure-based charac- terization of interatomic bond strength [31]. One calculates matrix elements ⟨αL|H|βL′⟩of the density functional theory Hamiltonian between localized atomic orbitals L and L′ on a pair of atoms α and β, then multiplies by the density of states NαL,βL′ projected onto the two orbitals.",160/10.1103/PhysRevB.89.104103
79/320,"an integrated COHP for a pair of atoms αβ, summing over atomic orbitals and integrating over energies up to the Fermi energy.","2. (Color online) XRD veriﬁcation of single phases of Ni8Ta, Ni3Ta, Ni2Ta, and NiTa. an integrated COHP for a pair of atoms αβ, summing over atomic orbitals and integrating over energies up to the Fermi energy.",160/10.1103/PhysRevB.89.104103
211/320,"To further understand the enhancement of bonding, we calculate electronic densities of state (Fig. 7).","Thus these substitutions have enhanced the bonding nature of the electronic states. To further understand the enhancement of bonding, we calculate electronic densities of state (Fig. 7).",160/10.1103/PhysRevB.89.104103
212/320,"The low-energy peak near −4 or −5 eV consists of sd-hybrid orbitals, followed by a series of higher-energy peaks consisting solely of d orbitals, with the Fermi level lying in the middle of the ETM d band and at or above the top of the LTM d band.","To further understand the enhancement of bonding, we calculate electronic densities of state (Fig. 7). The low-energy peak near −4 or −5 eV consists of sd-hybrid orbitals, followed by a series of higher-energy peaks consisting solely of d orbitals, with the Fermi level lying in the middle of the ETM d band and at or above the top of the LTM d band.",160/10.1103/PhysRevB.89.104103
215/320,"Performing a W →Ta substitution shifts the ETM d band up relative to the LTM d band, decreasing the d-band overlap and diminishing hybridization.","This effect is present in all structural prototypes we have examined. Performing a W →Ta substitution shifts the ETM d band up relative to the LTM d band, decreasing the d-band overlap and diminishing hybridization.",160/10.1103/PhysRevB.89.104103
220/320,"Compound ETM-ETM (44x) ETM-LTM (32x) LTM-LTM (4x) mean mean tI12 R k ρCOHP R k ρCOHP R k ρCOHP k ρCOHP K NiTa2 3.12 4.2 0.31 2.63 4.7 0.25 2.43 4.2 0.025 30.7 0.27 222 CoTa2 3.11 5.2 0.31 2.61 3.7 0.30 2.48 4.0 0.030 32.0 0.29 228 NiW2 3.02 4.0 0.31 2.55 7.6 0.34 2.38 4.3 0.041 37.7 0.31 294 CoW2 3.02 5.1 0.37 2.54 6.7 0.36 2.38 4.8 0.037 39.9 0.35 308 104103-7WILLIAM PAUL HUHN et al. PHYSICAL REVIEW B 89, 104103 (2014) -10 -8 -6 -4 -2 0 2 4 6 8 10 ε-εF (eV) 0 5 10 15 20 25 30 35 40 45 Density (states/eV) Total Co (d) Ta (d) (a) CoTa.hR13 -10 -8 -6 -4 -2 0 2 4 6 8 10 ε-εF (eV) 0 5 10 15 20 25 30 35 40 45 Density (states/eV) Total Co (d) W (d) (b) CoW.hR13 -10 -8 -6 -4 -2 0 2 4 6 8 10 ε-εF (eV) 0 5 10 15 20 25 30 35 40 45 Density (states/eV) Total Ni (d) Ta (d) (c) NiTa.hR13 -10 -8 -6 -4 -2 0 2 4 6 8 10 ε-εF (eV) 0 5 10 15 20 25 30 35 40 45 Density (states/eV) Total Ni (d) W (d) (d) NiW.hR13 FIG.","R are average bond lengths for nearest neighbors under 4 ˚A. k are averaged over atoms (i.e., weighted by the number of bonds per atom) in units eV/ ˚A2, ρCOHP is iCOHP volume density in units eV/ ˚A3, and K is the calculated bulk moduli in units GPa. Compound ETM-ETM (44x) ETM-LTM (32x) LTM-LTM (4x) mean mean tI12 R k ρCOHP R k ρCOHP R k ρCOHP k ρCOHP K NiTa2 3.12 4.2 0.31 2.63 4.7 0.25 2.43 4.2 0.025 30.7 0.27 222 CoTa2 3.11 5.2 0.31 2.61 3.7 0.30 2.48 4.0 0.030 32.0 0.29 228 NiW2 3.02 4.0 0.31 2.55 7.6 0.34 2.38 4.3 0.041 37.7 0.31 294 CoW2 3.02 5.1 0.37 2.54 6.7 0.36 2.38 4.8 0.037 39.9 0.35 308 104103-7WILLIAM PAUL HUHN et al. PHYSICAL REVIEW B 89, 104103 (2014) -10 -8 -6 -4 -2 0 2 4 6 8 10 ε-εF (eV) 0 5 10 15 20 25 30 35 40 45 Density (states/eV) Total Co (d) Ta (d) (a) CoTa.hR13 -10 -8 -6 -4 -2 0 2 4 6 8 10 ε-εF (eV) 0 5 10 15 20 25 30 35 40 45 Density (states/eV) Total Co (d) W (d) (b) CoW.hR13 -10 -8 -6 -4 -2 0 2 4 6 8 10 ε-εF (eV) 0 5 10 15 20 25 30 35 40 45 Density (states/eV) Total Ni (d) Ta (d) (c) NiTa.hR13 -10 -8 -6 -4 -2 0 2 4 6 8 10 ε-εF (eV) 0 5 10 15 20 25 30 35 40 45 Density (states/eV) Total Ni (d) W (d) (d) NiW.hR13 FIG.",160/10.1103/PhysRevB.89.104103
221/320,7. (Color online) Electronic densities of states for hR13 structures.,"Compound ETM-ETM (44x) ETM-LTM (32x) LTM-LTM (4x) mean mean tI12 R k ρCOHP R k ρCOHP R k ρCOHP k ρCOHP K NiTa2 3.12 4.2 0.31 2.63 4.7 0.25 2.43 4.2 0.025 30.7 0.27 222 CoTa2 3.11 5.2 0.31 2.61 3.7 0.30 2.48 4.0 0.030 32.0 0.29 228 NiW2 3.02 4.0 0.31 2.55 7.6 0.34 2.38 4.3 0.041 37.7 0.31 294 CoW2 3.02 5.1 0.37 2.54 6.7 0.36 2.38 4.8 0.037 39.9 0.35 308 104103-7WILLIAM PAUL HUHN et al. PHYSICAL REVIEW B 89, 104103 (2014) -10 -8 -6 -4 -2 0 2 4 6 8 10 ε-εF (eV) 0 5 10 15 20 25 30 35 40 45 Density (states/eV) Total Co (d) Ta (d) (a) CoTa.hR13 -10 -8 -6 -4 -2 0 2 4 6 8 10 ε-εF (eV) 0 5 10 15 20 25 30 35 40 45 Density (states/eV) Total Co (d) W (d) (b) CoW.hR13 -10 -8 -6 -4 -2 0 2 4 6 8 10 ε-εF (eV) 0 5 10 15 20 25 30 35 40 45 Density (states/eV) Total Ni (d) Ta (d) (c) NiTa.hR13 -10 -8 -6 -4 -2 0 2 4 6 8 10 ε-εF (eV) 0 5 10 15 20 25 30 35 40 45 Density (states/eV) Total Ni (d) W (d) (d) NiW.hR13 FIG. 7. (Color online) Electronic densities of states for hR13 structures.",160/10.1103/PhysRevB.89.104103
222/320,Line segments indicate the mean and standard deviations of the element projected d bands.,7. (Color online) Electronic densities of states for hR13 structures. Line segments indicate the mean and standard deviations of the element projected d bands.,160/10.1103/PhysRevB.89.104103
56/156,"The main observations, obtained from the case of the Fibonacci lattice as well as some of its associates, are [7] (i) the energy spectrum is purely singular continuous or, equivalently, fractal-like, and (ii) all the eigenfunctions are critical, i.e., neither extended nor localized in the usual meaning.","We now present a brief review on the electronic prop- erties of type I QLs. The main observations, obtained from the case of the Fibonacci lattice as well as some of its associates, are [7] (i) the energy spectrum is purely singular continuous or, equivalently, fractal-like, and (ii) all the eigenfunctions are critical, i.e., neither extended nor localized in the usual meaning.",185/10.1103/PhysRevLett.85.4924
70/156,"We employ the tight-binding model on this atomic chain, tCj21 1 VjCj 1 tCj11  ECj, where we assume that t  21 for the transfer integrals and VX  0 and VY  V for the relevant site energies.","More remarkably, the chain is invariant against the exchange of two types of atoms, X and Y. We employ the tight-binding model on this atomic chain, tCj21 1 VjCj 1 tCj11  ECj, where we assume that t  21 for the transfer integrals and VX  0 and VY  V for the relevant site energies.",185/10.1103/PhysRevLett.85.4924
120/156,"It has also been numerically conﬁrmed that each energy level at a band edge, where energy levels accumulate only from one side, gives the equivalent ﬁxed point of the 7D map to that of the ground state level.","The map being reduced to the subspace is essentially the same as above. It has also been numerically conﬁrmed that each energy level at a band edge, where energy levels accumulate only from one side, gives the equivalent ﬁxed point of the 7D map to that of the ground state level.",185/10.1103/PhysRevLett.85.4924
76/110,"To further study the dynamic stability of K4 nitrogen and 50% carbon-doped K4 nitrogen, phonon-band structures were calcu- lated at 0 GPa, and they are plotted in Figure 4a and b, respectively.","These results imply that 50% carbon-doped K4 nitrogen is also mechanically stable under all three deformations. To further study the dynamic stability of K4 nitrogen and 50% carbon-doped K4 nitrogen, phonon-band structures were calcu- lated at 0 GPa, and they are plotted in Figure 4a and b, respectively.",66/10.1016/j.cplett.2011.02.042
3/413,There exist both intraband and interband plasmon branches.,We show that the nonsymmorphic character endows the plasmons with extremely strong anisotropy. There exist both intraband and interband plasmon branches.,142/10.1103/PhysRevB.107.115168
4/413,The intraband branch is gapless and has a q1/2 dispersion.,There exist both intraband and interband plasmon branches. The intraband branch is gapless and has a q1/2 dispersion.,142/10.1103/PhysRevB.107.115168
6/413,The interband branches are gapped and their long-wavelength limits are connected with Van Hove singularities of the band structure.,"It is most dispersive and is independent of carrier density in direction normal to the nodal line, whereas along the nodal line, its dispersion is largely suppressed and its frequency scales linearly with carrier density. The interband branches are gapped and their long-wavelength limits are connected with Van Hove singularities of the band structure.",142/10.1103/PhysRevB.107.115168
11/413,"DOI: 10.1103/PhysRevB.107.115168 I. INTRODUCTION In topological semimetals (TSMs), the Fermi surface con- sists of symmetry-protected band degeneracies, such that the low-energy electronic states can have distinct characters in their energy dispersion, pseudospin structure, and interband coherence [1–4].","Our result reveals characteristic plasmons in a class of nonsymmorphic topological semimetals and offers guidance for its experimental detection and possible applications. DOI: 10.1103/PhysRevB.107.115168 I. INTRODUCTION In topological semimetals (TSMs), the Fermi surface con- sists of symmetry-protected band degeneracies, such that the low-energy electronic states can have distinct characters in their energy dispersion, pseudospin structure, and interband coherence [1–4].",142/10.1103/PhysRevB.107.115168
15/413,"In recent works, the possible protected band degen- eracies were systematically classiﬁed for all magnetic space groups [19–23].","For instance, in three-dimensional (3D) materials, stable degeneracy manifolds may take the form of nodal points [5–11], nodal lines [12–15], or nodal surfaces [16–18]. In recent works, the possible protected band degen- eracies were systematically classiﬁed for all magnetic space groups [19–23].",142/10.1103/PhysRevB.107.115168
21/413,(1) The nodal line *hrchang@mail.ustc.edu.cn is far away from the Fermi level.,"However, most of the proposals suffer one or more of the following drawbacks. (1) The nodal line *hrchang@mail.ustc.edu.cn is far away from the Fermi level.",142/10.1103/PhysRevB.107.115168
23/413,(3) There are other extraneous bands coexisting at Fermi energy.,(2) Points on the nodal line have a large variation in energy. (3) There are other extraneous bands coexisting at Fermi energy.,142/10.1103/PhysRevB.107.115168
31/413,"While the spe- ciﬁc band dispersion varies with n, all these members in 2D feature the nonsymmorphic nodal line [34].","More inter- esting, this family belongs to so-called composition-tunable materials, i.e., there exist a series of stoichiometric members with the formula Nb2n+1SinTe4n+2, or equivalently NbSixTe2 with x = n/(2n + 1) ∈[1/3, 1/2] [37,39–41]. While the spe- ciﬁc band dispersion varies with n, all these members in 2D feature the nonsymmorphic nodal line [34].",142/10.1103/PhysRevB.107.115168
43/413,"Meanwhile, the two interband branches are gapped and are connected to the Van Hove sin- gularities of the band structure.","The scaling of plasmon frequency with carrier density n (or Fermi energy) depends on the propaga- tion direction, which crosses over from ∼n0 normal to the nodal line to ∼n along the line. Meanwhile, the two interband branches are gapped and are connected to the Van Hove sin- gularities of the band structure.",142/10.1103/PhysRevB.107.115168
70/413,"It follows that the spectrum of model (1) must be gapless, with two bands crossing at a Dirac node at the BZ boundary k = π/ℓx, where k is the wave vector along the chain and ℓx is the lattice constant along x.","In comparison, here, the two hopping amplitudes must be equal, as dictated by the ˜My symmetry. It follows that the spectrum of model (1) must be gapless, with two bands crossing at a Dirac node at the BZ boundary k = π/ℓx, where k is the wave vector along the chain and ℓx is the lattice constant along x.",142/10.1103/PhysRevB.107.115168
77/413,(3) It is important to note that adding the interchain coupling does not open a gap in the spectrum.,Combining the two parts gives the whole model H =  j H j chain + Hinter. (3) It is important to note that adding the interchain coupling does not open a gap in the spectrum.,142/10.1103/PhysRevB.107.115168
83/413,"In the current model, this nodal line must be formed by the crossing of the two bands.","Therefore, the bands on the X-M path must be doubly degenerate, and this dictates the presence of a nodal line along this path, as indicated in Fig. 1(b). In the current model, this nodal line must be formed by the crossing of the two bands.",142/10.1103/PhysRevB.107.115168
87/413,"The model can be easily diagonalized and its spectrum is given by Es(k) = 2s cos kxℓx 2 [t2 + 2tt′ cos(kyℓy) + t′2]1/2, (7) with s = ±1.","After Fourier transform to momentum space, we have H(k) =t  0 1 + e−ikxℓx 1 + eikxℓx 0  + t′  0 e−ikyℓy(1 + e−ikxℓx ) eikyℓy(1 + eikxℓx ) 0  , (6) where the ﬁrst term corresponds to the intrachain coupling, and the second term corresponds to the interchain coupling. The model can be easily diagonalized and its spectrum is given by Es(k) = 2s cos kxℓx 2 [t2 + 2tt′ cos(kyℓy) + t′2]1/2, (7) with s = ±1.",142/10.1103/PhysRevB.107.115168
88/413,"The result conﬁrms a nodal line at kx = π/ℓx, where the two bands cross at zero energy.","The model can be easily diagonalized and its spectrum is given by Es(k) = 2s cos kxℓx 2 [t2 + 2tt′ cos(kyℓy) + t′2]1/2, (7) with s = ±1. The result conﬁrms a nodal line at kx = π/ℓx, where the two bands cross at zero energy.",142/10.1103/PhysRevB.107.115168
92/413,This conﬁrms the Dirac-type linear band crossing at the nodal line.,"Then, to the linear order in q, i.e., the deviation from k∗, we have Es,k∗(q) ≈−s¯hvF (k∗)qx, (8) where vF (k∗) = ℓx[t2 + 2tt′ cos(kyℓy) + t′2]1/2/¯h (9) is the Fermi velocity along the kx direction at the k∗point. This conﬁrms the Dirac-type linear band crossing at the nodal line.",142/10.1103/PhysRevB.107.115168
109/413,"Explicitly, we have χ0(q, ω) = g  ss′  d2k (2π)2 ( fsk −fs′k+q) · F k,k+q ss′ Es(k) −Es′(k + q) + ¯hω + iη, (14) where fsk is the Fermi distribution function for the band eigen- state |usk⟩, F k,k+q ss′ = |⟨usk|us′k+q⟩|2 is the overlap form factor, and η is a small positive number related to the quasiparticle lifetime.","Here, we evaluate ε(q, ω) for our 2D Dirac SSH model using the random-phase approximation (RPA), so that ε(q, ω) = 1 −vqχ0(q, ω), (13) where vq = 2πe2 κq is the Fourier component of Coulomb poten- tial in 2D, κ is the background dielectric constant, and χ0 is the single-particle polarization function. Explicitly, we have χ0(q, ω) = g  ss′  d2k (2π)2 ( fsk −fs′k+q) · F k,k+q ss′ Es(k) −Es′(k + q) + ¯hω + iη, (14) where fsk is the Fermi distribution function for the band eigen- state |usk⟩, F k,k+q ss′ = |⟨usk|us′k+q⟩|2 is the overlap form factor, and η is a small positive number related to the quasiparticle lifetime.",142/10.1103/PhysRevB.107.115168
110/413,"Owing to the band structure of the Dirac SSH model and the constraint from the overlap form factor, we shall see that the contributions in χ0 from s = s′ and from s ̸= s′ give distinct plasmon branches and they are separated in energy.","Explicitly, we have χ0(q, ω) = g  ss′  d2k (2π)2 ( fsk −fs′k+q) · F k,k+q ss′ Es(k) −Es′(k + q) + ¯hω + iη, (14) where fsk is the Fermi distribution function for the band eigen- state |usk⟩, F k,k+q ss′ = |⟨usk|us′k+q⟩|2 is the overlap form factor, and η is a small positive number related to the quasiparticle lifetime. Owing to the band structure of the Dirac SSH model and the constraint from the overlap form factor, we shall see that the contributions in χ0 from s = s′ and from s ̸= s′ give distinct plasmon branches and they are separated in energy.",142/10.1103/PhysRevB.107.115168
112/413,"The former (from s = s′) will be referred to as intraband plasmons, and the latter (from s ̸= s′) will be called interband plasmons.","Therefore, in the following, we shall study them separately. The former (from s = s′) will be referred to as intraband plasmons, and the latter (from s ̸= s′) will be called interband plasmons.",142/10.1103/PhysRevB.107.115168
116/413,"It is important to note that for this limit, we have the form factor F k,k+q ss′ = δss′, (15) which means only intraband contribution exists, and the inter- band contribution is totally suppressed.","Physically, in the NbSixTe2 family of materials, this limit corresponds to the case with x →1/2. It is important to note that for this limit, we have the form factor F k,k+q ss′ = δss′, (15) which means only intraband contribution exists, and the inter- band contribution is totally suppressed.",142/10.1103/PhysRevB.107.115168
123/413,"First, it is gapless with a ω ∼√q dispersion, which is characteristic for 2D systems, such as 2D electron gas and graphene.","There are several notable features of this intraband plas- mon branch. First, it is gapless with a ω ∼√q dispersion, which is characteristic for 2D systems, such as 2D electron gas and graphene.",142/10.1103/PhysRevB.107.115168
141/413,"Meanwhile, it also makes the interband contribution nonzero, which we shall discuss in the next section.","One observes that the second term in (18) gives a correction for the intraband contribution. Meanwhile, it also makes the interband contribution nonzero, which we shall discuss in the next section.",142/10.1103/PhysRevB.107.115168
151/413,Intraband plasmons of the Dirac SSH model.,"The strongest dispersion of these plasmons is still along the x direction, i.e., 115168-4PLASMONS IN A TWO-DIMENSIONAL NONSYMMORPHIC … PHYSICAL REVIEW B 107, 115168 (2023) FIG. 2. Intraband plasmons of the Dirac SSH model.",142/10.1103/PhysRevB.107.115168
177/413,"These factors result in gapped intraband plasmon branches, conventional frequency scaling behavior, and extended SPE regions, which are distinct from our system.","However, TTF-TCNQ is a 3D material and its low-energy bands are of conventional quadratic dispersion. These factors result in gapped intraband plasmon branches, conventional frequency scaling behavior, and extended SPE regions, which are distinct from our system.",142/10.1103/PhysRevB.107.115168
179/413,"However, for other directions, especially the y direction, interband contri- butions with s ̸= s′ can exist when there is nonzero interchain coupling t′. For these interband modes, χ0 may involve virtual transitions between states away from the nodal line, so it is dif- ﬁcult to get simple analytic results.","B. Interband plasmons From the overlap form factor in (18), we notice that along the x direction, only intraband plasmons exist. However, for other directions, especially the y direction, interband contri- butions with s ̸= s′ can exist when there is nonzero interchain coupling t′. For these interband modes, χ0 may involve virtual transitions between states away from the nodal line, so it is dif- ﬁcult to get simple analytic results.",142/10.1103/PhysRevB.107.115168
182/413,"One observes that besides the gapless intraband branch at low frequencies, there are two other gapped branches at much higher frequencies.","Figure 3(a) shows the obtained energy loss function for q along the nodal-line (y) direction, where such interband plasmons are most pronounced. One observes that besides the gapless intraband branch at low frequencies, there are two other gapped branches at much higher frequencies.",142/10.1103/PhysRevB.107.115168
183/413,They correspond to the interband plasmons.,"One observes that besides the gapless intraband branch at low frequencies, there are two other gapped branches at much higher frequencies. They correspond to the interband plasmons.",142/10.1103/PhysRevB.107.115168
184/413,"As we mentioned, these interband modes are related to interband virtual transitions in the band structure.","They correspond to the interband plasmons. As we mentioned, these interband modes are related to interband virtual transitions in the band structure.",142/10.1103/PhysRevB.107.115168
186/413,"As indicated in Fig. 3(b), in the q →0 limit, the virtual transitions are vertical, and there are two dominant frequencies ω1 and ω2 corresponding to the Van Hove singularities at Y and  of BZ.","Actually, one can see that the long-wavelength limit of the two branches encode the information of the Van Hove singularities of the Dirac SSH band structure. As indicated in Fig. 3(b), in the q →0 limit, the virtual transitions are vertical, and there are two dominant frequencies ω1 and ω2 corresponding to the Van Hove singularities at Y and  of BZ.",142/10.1103/PhysRevB.107.115168
188/413,"In the plasmon spectrum, ω1 and ω2 are exactly the limiting values of the two interband branches in the q →0 limit.","It is more convenient to visualize these two frequencies as corresponding to the singularities in the joint density of states (JDOS), as shown in Fig. 3(c). In the plasmon spectrum, ω1 and ω2 are exactly the limiting values of the two interband branches in the q →0 limit.",142/10.1103/PhysRevB.107.115168
189/413,"(Here, the intensity of the peak vanishes, because the form factor is zero in this limit.) With increasing q, the fre- quency of the upper branch decreases and the lower branch increases, and the two merge at q = π/ℓy, corresponding to the interband transitions from  to Y or from Y to , owing to the particle-hole symmetry of the model.","In the plasmon spectrum, ω1 and ω2 are exactly the limiting values of the two interband branches in the q →0 limit. (Here, the intensity of the peak vanishes, because the form factor is zero in this limit.) With increasing q, the fre- quency of the upper branch decreases and the lower branch increases, and the two merge at q = π/ℓy, corresponding to the interband transitions from  to Y or from Y to , owing to the particle-hole symmetry of the model.",142/10.1103/PhysRevB.107.115168
