doi,output,status
100/10.1063/1.1566097,"| Material | Value | Unit |
|----------|-------|------|
| GaMnAs | None | None |
| GaAs | None | None |

Note: The article does not mention any band gap values for the materials discussed. Therefore, the table above only includes the material names and no values.",1
101/10.1063/1.3176939,"| Material | Value | Unit |
|----------|-------|------|
| MgO | - | - |
| IrMn | - | - |
| CoFeB | - | - |
| Ru | - | - |
| Co | - | - |
| Fe | - | - |

Note: The band gap values are not provided",1
102/10.1063/1.3225396,"| Material | Value | Unit |
|----------|-------|------|
| LiAl | None | None |
| None | None | None |",1
103/10.1063/1.3431755,"| Material | Value | Unit |
|----------|-------|------|
| Gas Phase GA | 4.43 eV | eV |
| Adsorbed GA on MgSO4·H2O(100) | 7.41 eV | eV |
| Isolated GA | 4.0",1
104/10.1063/1.4704370,"| Material | Value | Unit |
|----------|-------|------|
| N2 | -0.95 | eV |
| CO | -0.83 | eV |
| H2O | -1.04 | eV |
| C2H4 | -0.62 | eV |
| CH2O | -",1
105/10.1063/1.4811690,"| Material | Value | Unit |
|----------|-------|------|
| GaAs | None | None |
| Fe | None | None |
| Au | None | None |",1
106/10.1063/1.4868131,"| Material | Value | Unit |
|----------|-------|------|
| Silicon (Si) | 1.1 eV | eV |
| Germanium (Ge) | 0.67 eV | eV |
| Gallium arsenide (GaAs) | 1.52 eV | eV |
| Ind",1
107/10.1063/1.4880238,"| Material | Value | Unit |
|----------|-------|------|
| Water | None | None |
| Nanoconﬁned water | None | None |
| Amorphous ice | None | None |",1
108/10.1063/1.4891200,"| Material | Value | Unit |
|----------|-------|------|
| Graphene | None | None |
| Pt foil | None | None |",1
109/10.1063/1.4896171,"| Material | Value | Unit |
|----------|-------|------|
| Er2BaNiO5 | 6 K | eV |
| Dy2BaNiO5 | 16 K | meV |
| Ca3Co2O6 | 32 K | meV |",1
10/10.1038/nmat3329,"| Material | Value | Unit |
|----------|-------|------|
| LiZn2Mo3O8 | None | None |
| Mo3O13 | None | None |
| Mo3O8 | None | None |
| La2CuO4 | 2.01 Å | eV |
| Ba2YMoO6",1
110/10.1063/1.4918549,"| Material | Value | Unit |
|----------|-------|------|
| Ge | 1.36 eV | eV |
| Si | 1.12 eV | eV |

Note: The band gap values are based on the information provided in the context, and are specific to the materials mentioned.",1
111/10.1063/1.4967315,"| Material | Value | Unit |
|----------|-------|------|
| ZnSe | 2.5 eV | eV |
| BeSe | 5.5 eV | eV |
| Zn0.47Be0.53Se | None | None |
| Zn0.67Be0.33Se |",1
112/10.1063/1.5063553,"| Material | Value | Unit |
|----------|-------|------|
| Fe3O4 | None | None |
| Pt | None | None |",1
