doi,output,status
100/10.1063/1.1566097,"| Material | Value | Unit |
|----------|-------|------|
| None | None | None |",1
101/10.1063/1.3176939,"| Material | Value | Unit |
|----------|-------|------|
| None | None | None |",1
102/10.1063/1.3225396,"| Material | Value | Unit |
|----------|-------|------|
| None | None | None |",1
103/10.1063/1.3431755,"| Material | Value | Unit |
|----------|-------|------|
| GA (Adsorbed) | 10.01 | eV |
| GA (Isolated) | 10.59 | eV |
| GA (Gas Phase) | 10.94 | eV |
| None | None | None |",1
104/10.1063/1.4704370,"| Material | Value | Unit |
|----------|-------|------|
| None | None | None |",1
105/10.1063/1.4811690,"| Material | Value | Unit |
|----------|-------|------|
| None | None | None |",1
106/10.1063/1.4868131,"| Material | Value | Unit |
|----------|-------|------|
| None | None | None |",1
107/10.1063/1.4880238,"| Material | Value | Unit |
|----------|-------|------|
| None | None | None |",1
108/10.1063/1.4891200,"| Material | Value | Unit |
|----------|-------|------|
| None | None | None |",1
109/10.1063/1.4896171,"| Material | Value | Unit |
|----------|-------|------|
| None | None | None |",1
10/10.1038/nmat3329,"| Material | Value | Unit |
|----------|-------|------|
| None | None | None |",1
110/10.1063/1.4918549,"| Material | Value | Unit |
|----------|-------|------|
| None | None | None |",1
111/10.1063/1.4967315,"| Material | Value | Unit |
|----------|-------|------|
| ZnSe | 2.5 | eV |
| BeSe | 5.5 | eV |",1
112/10.1063/1.5063553,"| Material | Value | Unit |
|----------|-------|------|
| None | None | None |",1
113/10.1063/1.5099913,"| Material | Value | Unit |
|----------|-------|------|
| None | None | None |",1
114/10.1063/5.0044689,"| Material | Value | Unit |
|----------|-------|------|
| None | None | None |",1
115/10.1063/5.0052848,"| Material | Value | Unit |
|----------|-------|------|
| None | None | None |",1
116/10.1063/5.0118797,"| Material | Value | Unit |
|----------|-------|------|
| None | None | None |",1
117/10.1063/5.0198885,"| Material | Value | Unit |
|----------|-------|------|
| SnO2 | 3.182 | eV |
| SnO2 (previous theory) | 3.65 | eV |",1
118/10.1063/5.0208103,"| Material | Value | Unit |
|----------|-------|------|
| None | None | None |",1
119/10.1073/pnas.2405839122,"| Material | Value | Unit |
|----------|-------|------|
| None | None | None |",1
11/10.1038/s41467-021-21203-6,"| Material | Value | Unit |
|----------|-------|------|
| None | None | None |",1
120/10.1088/0953-8984/24/1/015305,"| Material | Value | Unit |
|----------|-------|------|
| None | None | None |",1
121/10.1088/0953-8984/25/33/336003,"| Material | Value | Unit |
|----------|-------|------|
| None | None | None |",1
122/10.1088/0953-8984/27/49/495602,"| Material | Value | Unit |
|----------|-------|------|
| None | None | None |",1
123/10.1088/1361-6528/abcf6d,"| Material | Value | Unit |
|----------|-------|------|
| Cs2AgBiBr6 | 2.25 | eV |
| Cs2AgSbBr6 | 2.18 | eV |
| Cs2Ag(SbxIn1−x)Cl6 (at x = 0.9) | 2.08 | eV",1
124/10.1088/1367-2630/12/6/063014,"| Material | Value | Unit |
|----------|-------|------|
| None | None | None |",1
125/10.1088/1674-1056/abb65d,"| Material | Value | Unit |
|----------|-------|------|
| None | None | None |",1
126/10.1088/1742-5468/2008/09/P09005,"| Material | Value | Unit |
|----------|-------|------|
| None | None | None |",1
127/10.1088/1742-5468/2009/07/P07020,"| Material | Value | Unit |
|----------|-------|------|
| None | None | None |",1
128/10.1088/1742-5468/2016/03/033306,"| Material | Value | Unit |
|----------|-------|------|
| None | None | None |",1
129/10.1088/2515-7639/ab3ea2,"| Material | Value | Unit |
|----------|-------|------|
| Ag3AuSe2 | 13.8 | meV |
| Ag3AuSe2 | 60 | meV |
| Ag3AuSe2 | 200 | meV |",1
12/10.1038/s41563-020-0670-3,"| Material | Value | Unit |
|----------|-------|------|
| WS2–WSe2 | 1.45 | eV |
| None | None | None |",1
130/10.1103/PRXEnergy.2.043004,"| Material | Value | Unit |
|----------|-------|------|
| Cmcm | 3.23 | eV |
| Amm2 | 3.08 | eV |",1
131/10.1103/PhysRevApplied.1.024005,"| Material | Value | Unit |
|----------|-------|------|
| ZnO | 3.44 | eV |",1
132/10.1103/PhysRevApplied.15.044004,"| Material | Value | Unit |
|----------|-------|------|
| GaAs     | 1.42  | eV   |
| None     | None  | None |",1
133/10.1103/PhysRevB.100.035431,"| Material | Value | Unit |
|----------|-------|------|
| TiSe2 (CDW phase) | 100 | meV |
| 1T-TiSe2 | None | None |",1
134/10.1103/PhysRevB.100.054419,"| Material | Value | Unit |
|----------|-------|------|
| NiO | ... | meV |
| MnO | ... | meV |

Note: The context mentions that LDA calculations for NiO and MnO have too small band gaps, but specific values are not provided. Therefore, the exact numerical values cannot be filled in the table.",1
135/10.1103/PhysRevB.100.184420,"| Material | Value | Unit |
|----------|-------|------|
| None | None | None |",1
136/10.1103/PhysRevB.101.144404,"| Material | Value | Unit |
|----------|-------|------|
| None | None | None |",1
137/10.1103/PhysRevB.103.245127,"| Material | Value | Unit |
|----------|-------|------|
| None | None | None |",1
138/10.1103/PhysRevB.104.075148,"| Material | Value | Unit |
|----------|-------|------|
| CsV3Sb5 | 58 | meV |
| RbV3Sb5 | None | None |
| KV3Sb5 | None | None |
| LaRu3Si2 | None | None |",1
