doi,output,status
100/10.1063/1.1566097,"| Material | Value | Unit |
|----------|-------|------|
| None     | None  | None |",1
101/10.1063/1.3176939,"| Material | Value | Unit |
|----------|-------|------|
| None     | None  | None |",1
102/10.1063/1.3225396,"| Material | Value | Unit |
|----------|-------|------|
| None     | None  | None |",1
103/10.1063/1.3431755,"| Material | Value | Unit |
|----------|-------|------|
| GA (adsorbed, PBE) | 4.84 eV | eV |
| GA (adsorbed, HSE06) | 6.73 eV | eV |
| GA (adsorbed, LDA) | 4.81 eV | eV |
| GA",1
104/10.1063/1.4704370,"| Material | Value | Unit |
|----------|-------|------|
| H (Hydrogen atom) | 12.86 | eV |
| He (Helium atom) | 27.23 | eV |
| Li (Lithium atom) | 4.22 | eV |
| Be (Beryllium atom) | 9.66 | e",1
105/10.1063/1.4811690,"| Material | Value | Unit |
|----------|-------|------|
| None     | None  | None |",1
106/10.1063/1.4868131,"| Material | Value | Unit |
|----------|-------|------|
| None     | None  | None |",1
107/10.1063/1.4880238,"| Material | Value | Unit |
|----------|-------|------|
| None     | None  | None |",1
108/10.1063/1.4891200,"| Material | Value | Unit |
|----------|-------|------|
| None     | None  | None |",1
109/10.1063/1.4896171,"| Material | Value | Unit |
|----------|-------|------|
| None     | None  | None |",1
10/10.1038/nmat3329,"| Material | Value | Unit |
|----------|-------|------|
| LiZn2Mo3O8 | 0.12 | eV |
| Mo3O13 (cluster, estimated) | ~1.2 (on-site Hubbard U, implying a gap) | eV |",1
110/10.1063/1.4918549,"| Material | Value | Unit |
|----------|-------|------|
| None     | None  | None |",1
111/10.1063/1.4967315,"| Material | Value | Unit |
|----------|-------|------|
| None     | None  | None |",1
112/10.1063/1.5063553,"| Material | Value | Unit |
|----------|-------|------|
| None     | None  | None |",1
113/10.1063/1.5099913,"| Material | Value | Unit |
|----------|-------|------|
| None     | None  | None |",1
114/10.1063/5.0044689,"| Material | Value | Unit |
|----------|-------|------|
| None     | None  | None |",1
115/10.1063/5.0052848,"| Material | Value | Unit |
|----------|-------|------|
| None     | None  | None |",1
116/10.1063/5.0118797,"| Material | Value | Unit |
|----------|-------|------|
| None     | None  | None |",1
117/10.1063/5.0198885,"| Material | Value | Unit |
|----------|-------|------|
| SnO2 (LDA) | 0.749 | eV |
| SnO2 (G0W0) | 3.182 | eV |
| SnO2 (Experimental) | 3.5931 | eV |
| ZnO (mentioned in ref [28]) | *no",1
118/10.1063/5.0208103,"| Material | Value | Unit |
|----------|-------|------|
| None     | None  | None |",1
119/10.1073/pnas.2405839122,"| Material | Value | Unit |
|----------|-------|------|
| None     | None  | None |",1
11/10.1038/s41467-021-21203-6,"| Material | Value | Unit |
|----------|-------|------|
| None     | None  | None |

**Note:** Although there is a mention of a band gap, specifically a value of ""0.4 eV above the VB maximum"" for in-gap states in ZnO, this does not directly provide a band gap value for any material. The band gap typically refers to the energy",1
120/10.1088/0953-8984/24/1/015305,"| Material | Value | Unit |
|----------|-------|------|
| None     | None  | None |",1
121/10.1088/0953-8984/25/33/336003,"| Material | Value | Unit |
|----------|-------|------|
| None     | None  | None |",1
122/10.1088/0953-8984/27/49/495602,"| Material | Value | Unit |
|----------|-------|------|
| None     | None  | None |",1
123/10.1088/1361-6528/abcf6d,"| Material | Value | Unit |
|----------|-------|------|
| Cs2AgSbBr6 | 2.18 eV | eV |
| Cs2Ag(SbxBi1-x)Br6 (x = 0.9) | 2.08 eV | eV |
| Chalcogenide perovskites (general range) | ",1
124/10.1088/1367-2630/12/6/063014,"| Material | Value | Unit |
|----------|-------|------|
| None     | None  | None | 

**Note:** There are no explicit band gap values mentioned in the provided CONTEXT. The text discusses energy levels, effective masses, and shifts in energies, but does not provide specific band gap values for any material.",1
125/10.1088/1674-1056/abb65d,"| Material | Value | Unit |
|----------|-------|------|
| TBG (relaxed, θ = 1.05°) - Flat band to Second Conduction Band | 0.02 eV | eV |
| TBG (relaxed, various angles) - Flat bands to Other Bands | **Not Quantified** | **-** |
| Graphene (mon",1
126/10.1088/1742-5468/2008/09/P09005,"| Material | Value | Unit |
|----------|-------|------|
| None     | None  | None |",1
127/10.1088/1742-5468/2009/07/P07020,"| Material | Value | Unit |
|----------|-------|------|
| None     | None  | None |",1
128/10.1088/1742-5468/2016/03/033306,"| Material | Value | Unit |
|----------|-------|------|
| None     | None  | None |",1
129/10.1088/2515-7639/ab3ea2,"| Material | Value | Unit |
|----------|-------|------|
| Ag3AuSe2 | 13.8  | meV |
| Ag3AuSe2 | 60    | meV |
| Ag3AuSe2 | 200   | meV |
| Ag3AuTe2 | None  | None |",1
12/10.1038/s41563-020-0670-3,"| Material | Value | Unit |
|----------|-------|------|
| None     | None  | None |",1
130/10.1103/PRXEnergy.2.043004,"| Material | Value | Unit |
|----------|-------|------|
| CsCu2I3 (Cmcm phase) | 3.23 | eV |
| CsCu2I3 (Amm2 phase) | 3.08 | eV |
| CsCu2I3 (experimental, from optical absorption spectrum) | 3.49 | eV |
|",1
131/10.1103/PhysRevApplied.1.024005,"| Material | Value | Unit |
|----------|-------|------|
| ZnO     | 3.44  | eV   |
| ZnO (calculated, using certain approximations) | ~0.8 | eV   | 
| NO6 (transition level, not band gap, but included for context) | 0.4 | eV   | 
|",1
