doi,output,status
100/10.1063/1.1566097,"| Material | Value | Unit |
|----------|-------|------|
| GaAs | 1.5 eV | eV |
| (Ga,Mn)As | None | None |",1
101/10.1063/1.3176939,"| Material | Value | Unit |
|----------|-------|------|
| MgO | 3.2 eV | |
| IrMn(10) | 1.4 eV | |
| CoFeB(3) | 2.2 eV | |
| Ru(0.95) | 2.6 eV",1
102/10.1063/1.3225396,"| Material | Value | Unit |
|----------|-------|------|
| LiAl | 3.00 | eV |
| LiAl | 103 | meV |",1
103/10.1063/1.3431755,"| Material | Value | Unit |
|----------|-------|------|
| Gluconic Acid (GA) | 4.84 eV |
| Gluconic Acid (GA) | 6.73 eV |
| Magnesium Sulfate (MgSO4·H2O(100)) | 4",1
104/10.1063/1.4704370,"| Material | Value | Unit |
|----------|-------|------|
| SiF2 | 0.10 | eV |
| He | 27.23 | eV |
| Li | 4.22 | eV |
| Be | 9.66 | eV |
| B | 7.99 |",1
105/10.1063/1.4811690,"| Material | Value | Unit |
|----------|-------|------|
| GaAs | 1.5 eV | eV |
| Fe | None | None |
| Au | None | None |",1
106/10.1063/1.4868131,"| Material | Value | Unit |
|----------|-------|------|
| GaN | 3.4 eV | eV |
| InGaN | 3.2 eV | eV |
| InP | 1.85 eV | eV |
| GaAs | 1.52 eV | eV |
",1
107/10.1063/1.4880238,"| Material | Value | Unit |
|----------|-------|------|
| Water | 130-140 K | eV |
| Water (nanoconﬁned) | 160-180 K | eV |",1
108/10.1063/1.4891200,"| Material | Value | Unit |
|----------|-------|------|
| Graphene | None | None |
| Pt foil | None | None |
| SiO2/Si substrate | None | None |
| Poly methylmethacrylate transfer layer | None | None |",1
109/10.1063/1.4896171,"| Material | Value | Unit |
|----------|-------|------|
| Er2BaNiO5 | None | None |
| Dy2BaNiO5 | None | None |
| Ca3Co2O6 | None | None |

Note: The article does not mention any band gap values for the materials discussed. Therefore, the table",1
10/10.1038/nmat3329,"| Material | Value | Unit |
|----------|-------|------|
| LiZn2Mo3O8 | 0.12 | eV |
| Zn2Mo3O8 | None | None |",1
110/10.1063/1.4918549,"| Material | Value | Unit |
|----------|-------|------|
| Ge (bulk) | 0.67 eV | eV |
| Ge (PECVD) | 0.82 eV | eV |
| Ge (sputter) | 0.73 eV | eV |

Note: The band",1
111/10.1063/1.4967315,"| Material | Value | Unit |
|----------|-------|------|
| ZnSe | 200 | cm-1 |
| BeSe | 40 | cm-1 |
| Zn1-xBexSe | None | None |",1
112/10.1063/1.5063553,"| Material | Value | Unit |
|----------|-------|------|
| Fe3O4 | None | None |
| Pt | None | None |

Note: The article does not mention any band gap values for the materials Fe3O4 and Pt.",1
113/10.1063/1.5099913,"| Material | Value | Unit |
|----------|-------|------|
| Py (5 nm) | None | None |
| α-W (10 nm) | None | None |
| β-W (10 nm) | None | None |
| W3O | None | None |
| W oxide or nitride |",1
114/10.1063/5.0044689,"| Material | Value | Unit |
|----------|-------|------|
| Bulk Silicon | 1.2 eV | eV |
| Molecular Crystals | None | None |",1
115/10.1063/5.0052848,"| Material | Value | Unit |
|----------|-------|------|
| Indium oxide | 4.05 ± 0.05 eV | - |
| Bixbyite structure indium oxide | None | None |",1
116/10.1063/5.0118797,"| Material | Value | Unit |
|----------|-------|------|
| Silica (defect-free) | -27.04 | eV |
| Silica (defect) | -11.00 | eV |
| Silica (total IS) | -16.50 | eV |

Note: The band",1
117/10.1063/5.0198885,"| Material | Value | Unit |
|----------|-------|------|
| SnO2 | 3.182 | eV |
| ZnO | 3.65 | eV |
| None | None | None |",1
118/10.1063/5.0208103,"| Material | Value | Unit |
|----------|-------|------|
| Hematite | 1.2 eV | eV |
| Fayalite | 0.8 eV | eV |
| Hydrogen interstitial in Silicon | None | None |
| Water (Liquid) | None | None |
|",1
119/10.1073/pnas.2405839122,"| Material | Value | Unit |
|----------|-------|------|
| ZrTe5 | 4 × 10-7 | m2T-1A-1 |
| WTe2 | 3.4 × 10-7 | m2T-1A-1 |
| BiTeBr | 3 × 10−1",1
11/10.1038/s41467-021-21203-6,"| Material | Value | Unit |
|----------|-------|------|
| ZnO | 3.37 | eV |
| SrTiO3 | 3.2 | eV |
| MoS2 | 1.2 | eV |
| NiS2 | 0.8 | eV |

Note: The band",1
