doi,output,status
100/10.1063/1.1566097,"| Material | Value | Unit |
|----------|-------|------|
| GaMnAs | None | None |
| GaAs | 1.5 eV | eV |",1
101/10.1063/1.3176939,"| Material | Value | Unit |
|----------|-------|------|
| MgO | None | None |
| IrMn(10) | None | None |
| CoFeB(3) | None | None |
| Ru(0.95) | None | None |
| CoFe(4) | None | None |
|",1
102/10.1063/1.3225396,"| Material | Value | Unit |
|----------|-------|------|
| LiAl | None | None |
| None | None | None |

Note: The context you provided does not mention any specific materials or their band gap values. Therefore, the only information that can be extracted is that there are no band gap values mentioned in the text.",1
103/10.1063/1.3431755,"| Material | Value | Unit |
|----------|-------|------|
| MgSO4·H2O(100) | 7.41 eV | eV |
| GA (gluconic acid) | 4.84 eV | eV |
| GA (isolated) | 5.97",1
104/10.1063/1.4704370,"| Material | Value (band gap) | Unit |
|----------|-------|------|
| Hydrogen atom | 13.60 eV |
| Helium atom | 24.59 eV |
| Lithium atom | 5.39 eV |
| Be (Beryllium) atom | 9.3",1
105/10.1063/1.4811690,"| Material | Value | Unit |
|----------|-------|------|
| GaAs | 1.5 eV | eV |
| Fe | None | None |
| Au | None | None |",1
106/10.1063/1.4868131,"| Material | Value | Unit |
|----------|-------|------|
| GaN | 3.42 eV | eV |
| InGaN | 50-250 nm | nm |
| SiO2 | None | None |
| Al | None | None |
| Si | None | None |
| Si",1
107/10.1063/1.4880238,"| Material | Value | Unit |
|----------|-------|------|
| Amorphous Ice | - | eV |
| Water | - | eV |
| Nanoconﬁned Water | - | eV |",1
108/10.1063/1.4891200,"| Material | Value | Unit |
|----------|-------|------|
| Graphene | None | None |
| Platinum | None | None |
| Silicon Nitride | None | None |
| Copper | None | None |

Note: The band gap values are not mentioned in the given context, so there is no information to provide.",1
109/10.1063/1.4896171,"| Material | Value | Unit |
|----------|-------|------|
| Er2BaNiO5 | None | None |
| None | None | None |",1
10/10.1038/nmat3329,"| Material | Value | Unit |
|----------|-------|------|
| LiZn2Mo3O8 | 0.12 | eV |
| Mo3O4(OH)3(H2O)6 | None | None |

Note: The band gap value for Mo3O4(OH)3(H2O)6 is",1
110/10.1063/1.4918549,"| Material | Value | Unit |
|----------|-------|------|
| Ge (SiO2 matrix) | 3.5 eV | eV |
| Ge (a-Si interface) | 4.3 eV | eV |
| SiO2 | None | None |",1
111/10.1063/1.4967315,"| Material | Value | Unit |
|----------|-------|------|
| ZnSe | 2.5 eV | eV |
| BeSe | 5.5 eV | eV |
| Zn1-xBexSe | None | None |",1
112/10.1063/1.5063553,"| Material | Value | Unit |
|----------|-------|------|
| Fe3O4 | None | None |
| Pt | None | None |
| PM | None | None |",1
113/10.1063/1.5099913,"| Material | Value | Unit |
|----------|-------|------|
| Py | None | None |
| W | None | None |
| Cu | None | None |
| Ta | None | None |",1
114/10.1063/5.0044689,"| Material | Value | Unit |
|----------|-------|------|
| Bulk Silicon | 1.1 eV | eV |
| Molecular Crystals | None | None |",1
115/10.1063/5.0052848,"| Material | Value | Unit |
|----------|-------|------|
| In2O3 | 0.13-0.55 | eV |
| In2O3 | None | None |

Note: The band gap values are reported as a range of 0.13-0.55 eV, and None for the other materials",1
116/10.1063/5.0118797,"| Material | Value | Unit |
|----------|-------|------|
| Bulk silica | 1.0 eV | eV |
| Defect-states (3D) | 0.3 eV | eV |",1
117/10.1063/5.0198885,"| Material | Value | Unit |
|----------|-------|------|
| Rutile SnO2 | 3.182 | eV |
| Rutile SnO2 | 0.749 | eV |

Note: The first value is the band gap value calculated using the G0W0 method, while the second value is the",1
118/10.1063/5.0208103,"| Material | Value | Unit |
|----------|-------|------|
| Hydrogen interstitial in Silicon | 1.2 eV | |
| Boron Nitride | 71.384 eV | |
| Carbon Diamond | 142.85 eV | |
| Cubic MAPI |",1
119/10.1073/pnas.2405839122,"| Material | Value | Unit |
|----------|-------|------|
| ZrTe5 | 4 × 10-7 | eV |
| WTe2 | 3.4 × 10-7 | eV |
| BiTeBr | 3 × 10−12 | eV |
| Te | 10",1
11/10.1038/s41467-021-21203-6,"| Material | Value | Unit |
|----------|-------|------|
| ZnO | 3.4 eV | eV |
| VO2 | None | None |
| SrTiO3 | None | None |
| MoS2 | None | None |

Note: The band gap values are not explicitly mentioned in the text, but",1
120/10.1088/0953-8984/24/1/015305,"| Material | Value | Unit |
|----------|-------|------|
| Graphene | None | None |
| SiO2 | 4.5 | eV |",1
121/10.1088/0953-8984/25/33/336003,"| Material | Value | Unit |
|----------|-------|------|
| PbCu3TeO7 | -150 | eV |
| PbCu3TeO7 | 36 | K |
| PbCu3TeO7 | 25 | K |
| PbCu3TeO7 | ",1
122/10.1088/0953-8984/27/49/495602,"| Material | Value | Unit |
|----------|-------|------|
| La0.7M0.3MnO3 | 5 e15 W/(m3 K) | - |
| x=0.5 compound | None | None |
| c-axis phonon heat conductivity | 3 times bigger | - |
| a",1
123/10.1088/1361-6528/abcf6d,"| Material | Value | Unit |
|----------|-------|------|
| BiI3 | 1.67±0.09 eV | eV |
| Cs2AgSbxIn1-xCl6 | Not mentioned | None |
| BaZrS3 | Not mentioned | None |
| SrZrS3 | Not mentioned",1
124/10.1088/1367-2630/12/6/063014,"| Material | Value | Unit |
|----------|-------|------|
| Ag(111) | 0.5 eV | eV |
| PTCDA | None | None |",1
125/10.1088/1674-1056/abb65d,"| Material | Value | Unit |
|----------|-------|------|
| Twisted Bilayer Graphene (TBG) | 10 meV | eV |
| Twisted Bilayer Graphene (TBG) | None | None |",1
126/10.1088/1742-5468/2008/09/P09005,"| Material | Value | Unit |
|----------|-------|------|
| None | None | None |

Note: There is no mention of any specific materials or their band gap values in the given context. Therefore, the only possible answer is ""None"" for all three columns.",1
127/10.1088/1742-5468/2009/07/P07020,"| Material | Value | Unit |
|----------|-------|------|
| None | None | None |

Note: There is no mention of any specific materials or their band gap values in the given context. The context only discusses the growth of an interface and the correlations in the system, but does not provide any information about materials or their properties. Therefore, the answer is",1
128/10.1088/1742-5468/2016/03/033306,"| Material | Value | Unit |
|----------|-------|------|
| Cement paste | None | None |
| Gaussian RF | None | None |
| Percolation | None | None |",1
129/10.1088/2515-7639/ab3ea2,"| Material | Value | Unit |
|----------|-------|------|
| Ag3AuSe2 | 13.8 meV | eV |
| Ag3AuTe2 | None | None |",1
12/10.1038/s41563-020-0670-3,"| Material | Value | Unit |
|----------|-------|------|
| WS2 | 1.2 eV | eV |
| WSe2 | 0.8 eV | eV |
| MoS2 | 1.3 eV | eV |
| MoSe2 | 0.9 eV | eV |
",1
130/10.1103/PRXEnergy.2.043004,"| Material | Value | Unit |
|----------|-------|------|
| Cs3Cu2I5 | 3.49 eV | eV |
| Cmcm and Amm2 | 3.23 eV, 3.08 eV | eV |
| SnSe | > 2.6 eV | eV",1
131/10.1103/PhysRevApplied.1.024005,"| Material | Value | Unit |
|----------|-------|------|
| ZnO | 0.8 eV | eV |
| Nitrogen | 0.4 eV | eV |",1
132/10.1103/PhysRevApplied.15.044004,"| Material | Value | Unit |
|----------|-------|------|
| GaAs | 1.5 eV | eV |
| AlAs | 0.3 eV | eV |",1
133/10.1103/PhysRevB.100.035431,"| Material | Value | Unit |
|----------|-------|------|
| Parabolic (red) | 60 | meV |
| Mexican-hat shaped (black) | 15, 26 | meV |
| RTe3 | None | None |",1
134/10.1103/PhysRevB.100.054419,"| Material | Value | Unit |
|----------|-------|------|
| Fe | 230 | meV |
| Ni | 433 | meV |
| Co | 478 | meV |
| FeCo | 450-500 | meV |

Note: The band gap values are based on the",1
